location-lat,location-long,timestamp
53.2184215,4.9253865,2019-02-05 17:28:52
53.2258664,4.9186283,2019-02-05 18:29:36
53.2253231,4.9123458,2019-02-05 19:30:28
53.2256421,4.9115143,2019-02-05 20:31:07
53.2240824,4.9128016,2019-02-05 21:31:14
53.2239716,4.9129797,2019-02-05 22:31:41
53.2240612,4.9132242,2019-02-05 23:32:37
53.2240315,4.9132279,2019-02-06 00:32:33
53.2279122,4.9558214,2019-02-06 01:33:07
53.2271511,4.9507606,2019-02-06 02:33:20
53.2275638,4.9508135,2019-02-06 03:33:19
53.2317049,4.920756,2019-02-06 04:34:06
53.2317155,4.9207505,2019-02-06 05:34:08
53.2266084,4.9367061,2019-02-06 06:34:23
53.2243062,4.93577,2019-02-06 07:35:30
53.2210168,4.9307243,2019-02-06 08:36:06
53.2212554,4.9302653,2019-02-06 09:36:28
53.2212302,4.930309,2019-02-06 10:36:28
53.1840347,4.9514284,2019-02-06 11:37:06
53.1928601,4.9738595,2019-02-06 12:37:33
53.1919427,4.9712995,2019-02-06 13:37:38
53.1908719,4.9645629,2019-02-06 14:38:30
53.1887816,4.9650009,2019-02-06 15:38:33
53.2231488,4.9154614,2019-02-06 17:39:22
53.2240544,4.9132199,2019-02-06 18:39:24
53.2240448,4.9132775,2019-02-06 19:40:07
53.2218224,4.9025993,2019-02-06 20:40:22
53.2258873,4.9008542,2019-02-06 21:41:43
53.2258675,4.9008368,2019-02-06 22:42:06
53.2258459,4.9008374,2019-02-06 23:42:14
53.2258231,4.9008497,2019-02-07 00:42:15
53.2564146,4.9354546,2019-02-07 01:43:24
53.228696,4.9532875,2019-02-07 02:43:31
53.2320943,4.9551382,2019-02-07 03:44:00
53.2380605,4.9192721,2019-02-07 04:44:36
53.2382303,4.9202875,2019-02-07 05:44:49
53.1631282,4.8808059,2019-02-07 06:45:06
53.1559586,4.8860587,2019-02-07 07:45:37
53.1559969,4.8864403,2019-02-07 10:46:36
53.1558528,4.8864157,2019-02-07 11:46:56
53.1516067,4.9180016,2019-02-07 13:47:36
53.1815922,4.9552851,2019-02-07 14:47:57
53.1818378,4.9550147,2019-02-07 15:47:57
53.156249,4.8865494,2019-02-07 16:48:36
53.1560439,4.8864136,2019-02-07 17:48:45
53.1560345,4.8864708,2019-02-07 18:48:59
53.1560076,4.8864121,2019-02-07 19:49:19
53.1560195,4.8864418,2019-02-07 20:49:36
53.1560542,4.8864599,2019-02-07 21:49:46
53.156014,4.8864243,2019-02-07 22:50:06
53.1560028,4.8864112,2019-02-07 23:50:17
53.1560371,4.8864418,2019-02-08 00:50:33
53.1560434,4.886438,2019-02-08 01:50:55
53.2284696,4.9623109,2019-02-08 02:51:36
53.2280537,4.9527996,2019-02-08 03:51:36
53.2316456,4.9204301,2019-02-08 04:51:51
53.2316668,4.9203785,2019-02-08 05:52:18
53.1802835,4.9477608,2019-02-08 06:52:54
